Date        ;Tournament                      ;Surface ;Rd   ;Rk  ;vRk ;                                               ;Score                        ;More ;DR   ;A%    ;DF%   ;1stIn ;1st%  ;2nd%  ;BPSvd  ;Time
27‑Sep‑2021 ;Sofia                           ;Hard    ;R16  ; 14 ;112 ;(1)Sinner d. (Q)Egor Gerasimov [BLR]           ;6-2 7-6(3)                   ;     ;1.47 ;6.0%  ;3.0%  ;53.7% ;80.6% ;58.1% ;07-ago ;1:41
30‑Aug‑2021 ;US Open                         ;Hard    ;R16  ; 16 ;  4 ;(4)Alexander Zverev [GER] d. (13)Sinner        ;6-4 6-4 7-6(7)               ;(ch) ;0.89 ;4.7%  ;1.9%  ;60.4% ;73.4% ;50.0% ;08-nov ;2:25
30‑Aug‑2021 ;US Open                         ;Hard    ;R32  ; 16 ; 20 ;(13)Sinner d. (17)Gael Monfils [FRA]           ;7-6(1) 6-2 4-6 4-6 6-4       ;(ch) ;1.12 ;3.0%  ;3.0%  ;56.0% ;68.8% ;54.8% ;dic-18 ;3:42
30‑Aug‑2021 ;US Open                         ;Hard    ;R64  ; 16 ;716 ;(13)Sinner d. (WC)Zachary Svajda [USA]         ;6-3 7-6(2) 6-7(6) 6-4        ;     ;1.10 ;5.1%  ;1.9%  ;56.1% ;78.4% ;46.4% ;07-oct ;3:34
30‑Aug‑2021 ;US Open                         ;Hard    ;R128 ; 16 ;191 ;(13)Sinner d. (WC)Max Purcell [AUS]            ;6-4 6-2 4-6 6-2              ;     ;1.36 ;11.1% ;3.7%  ;53.7% ;75.9% ;60.0% ;05-jul ;2:33
16‑Aug‑2021 ;Cincinnati Masters              ;Hard    ;R32  ; 15 ; 26 ;John Isner [USA] d. (11)Sinner                 ;5-7 7-6(4) 6-4               ;     ;1.13 ;11.1% ;2.0%  ;53.5% ;84.9% ;58.7% ;03-abr ;2:35
16‑Aug‑2021 ;Cincinnati Masters              ;Hard    ;R64  ; 15 ; 48 ;(11)Sinner d. Federico Delbonis [ARG]          ;6-2 7-5                      ;     ;1.32 ;9.0%  ;0.0%  ;64.2% ;74.4% ;45.8% ;04-jun ;1:38
9‑Aug‑2021  ;Canada Masters                  ;Hard    ;R32  ; 15 ; 85 ;(Q)James Duckworth [AUS] d. (16)Sinner         ;6-3 6-4                      ;     ;0.69 ;5.0%  ;3.3%  ;63.3% ;76.3% ;40.9% ;02-abr ;1:16
2‑Aug‑2021  ;Washington                      ;Hard    ;F    ; 24 ;107 ;(5)Sinner d. Mackenzie Mcdonald [USA]          ;7-5 4-6 7-5                  ;(ch) ;     ;      ;      ;      ;      ;      ;       ;
2‑Aug‑2021  ;Washington                      ;Hard    ;SF   ; 24 ;130 ;(5)Sinner d. (WC)Jenson Brooksby [USA]         ;7-6(2) 6-1                   ;(ch) ;1.86 ;10.5% ;1.8%  ;52.6% ;83.3% ;70.4% ;03-mar ;1:29
2‑Aug‑2021  ;Washington                      ;Hard    ;QF   ; 24 ; 81 ;(5)Sinner d. Steve Johnson [USA]               ;6-4 6-2                      ;(ch) ;1.84 ;13.7% ;2.0%  ;56.9% ;93.1% ;54.5% ;03-mar ;1:11
2‑Aug‑2021  ;Washington                      ;Hard    ;R16  ; 24 ; 45 ;(5)Sinner d. (12)Sebastian Korda [USA]         ;7-6(3) 7-6(3)                ;(ch) ;1.12 ;3.6%  ;6.0%  ;51.8% ;72.1% ;55.0% ;02-may ;1:56
2‑Aug‑2021  ;Washington                      ;Hard    ;R32  ; 24 ; 69 ;(5)Sinner d. Emil Ruusuvuori [FIN]             ;6-2 6-4                      ;(ch) ;1.80 ;6.1%  ;0.0%  ;40.8% ;85.0% ;69.0% ;0/0    ;1:18
26‑Jul‑2021 ;Atlanta                         ;Hard    ;R16  ; 23 ;132 ;(Q)Christopher Oconnell [AUS] d. (2)Sinner     ;7-6(7) 6-4                   ;     ;0.95 ;7.2%  ;2.9%  ;60.9% ;81.0% ;51.9% ;0/1    ;1:37
28‑Jun‑2021 ;Wimbledon                       ;Grass   ;R128 ; 23 ; 48 ;Marton Fucsovics [HUN] d. (19)Sinner           ;5-7 6-3 7-5 6-3              ;     ;0.89 ;1.5%  ;3.8%  ;56.8% ;65.3% ;42.1% ;oct-19 ;3:04
14‑Jun‑2021 ;Queen's Club                    ;Grass   ;R32  ; 23 ;309 ;(WC)Jack Draper [GBR] d. (3)Sinner             ;7-6(6) 7-6(2)                ;     ;0.81 ;8.5%  ;4.3%  ;63.8% ;70.0% ;41.2% ;03-jun ;1:58
31‑May‑2021 ;Roland Garros                   ;Clay    ;R16  ; 19 ;  3 ;(3)Rafael Nadal [ESP] d. (18)Sinner            ;7-5 6-3 6-0                  ;(ch) ;0.59 ;0.0%  ;5.3%  ;65.8% ;42.0% ;38.5% ;may-14 ;2:17
31‑May‑2021 ;Roland Garros                   ;Clay    ;R32  ; 19 ;105 ;(18)Sinner d. Mikael Ymer [SWE]                ;6-1 7-5 6-3                  ;     ;1.50 ;5.4%  ;3.3%  ;56.5% ;80.8% ;52.5% ;10-nov ;2:22
31‑May‑2021 ;Roland Garros                   ;Clay    ;R64  ; 19 ; 87 ;(18)Sinner d. Gianluca Mager [ITA]             ;6-1 7-5 3-6 6-3              ;     ;1.53 ;8.2%  ;0.0%  ;60.8% ;76.3% ;71.1% ;02-abr ;2:19
31‑May‑2021 ;Roland Garros                   ;Clay    ;R128 ; 19 ; 85 ;(18)Sinner d. Pierre Hugues Herbert [FRA]      ;6-1 4-6 6-7(4) 7-5 6-4       ;(ch) ;1.19 ;3.2%  ;2.6%  ;61.7% ;68.4% ;59.3% ;08-dic ;3:32
17‑May‑2021 ;Lyon                            ;Clay    ;R16  ; 17 ;125 ;(LL)Arthur Rinderknech [FRA] d. (6)Sinner      ;6-7(7) 6-2 7-5               ;     ;0.84 ;5.6%  ;1.9%  ;62.0% ;67.2% ;46.3% ;jul-13 ;2:34
17‑May‑2021 ;Lyon                            ;Clay    ;R32  ; 17 ; 25 ;(6)Sinner d. Aslan Karatsev [RUS]              ;0-6 6-3 6-4                  ;     ;0.95 ;3.4%  ;2.2%  ;64.0% ;57.9% ;53.1% ;sep-13 ;2:33
10‑May‑2021 ;Rome Masters                    ;Clay    ;R32  ; 18 ;  3 ;(2)Rafael Nadal [ESP] d. Sinner                ;7-5 6-4                      ;     ;0.79 ;1.3%  ;2.6%  ;53.8% ;59.5% ;44.4% ;oct-15 ;2:10
10‑May‑2021 ;Rome Masters                    ;Clay    ;R64  ; 18 ; 32 ;Sinner d. Ugo Humbert [FRA]                    ;6-2 6-4                      ;     ;1.45 ;0.0%  ;2.0%  ;59.2% ;72.4% ;60.0% ;0/1    ;1:30
