Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
29,Brandon Nakashima,12,25.0,66.0,63.8,10.1,2.2,7.0,68.1,71.9,53.5,57.5,85.8,6.6,29.9,32.2,14.0,3.2,21.8,45.3,6.5,31.0,62.0,20.3,59,0.39,2.0,4.9,0.41,1.0,73.4,0.53,2.7,6.6,0.72,1.8,47.9,30.0,31.0
30,Matteo Berrettini,6,66.7,72.4,69.9,14.5,2.7,8.3,67.4,82.6,51.4,56.1,93.2,6.1,32.9,32.4,6.8,4.1,27.1,41.0,6.3,104.0,118.0,41.9,31,0.42,2.2,5.2,0.93,2.2,66.7,0.21,1.1,2.5,0.36,0.8,52.1,60.0,71.4
31,Hubert Hurkacz,11,72.7,69.7,65.8,15.6,2.2,6.0,63.6,79.8,52.0,55.3,88.7,6.1,37.4,38.6,5.7,1.8,33.4,44.7,6.7,39.0,91.0,37.5,72,0.51,2.4,6.5,0.9,2.5,73.8,0.43,2.2,5.9,0.57,1.5,53.3,83.3,66.7
32,Alex Michelsen,5,60.0,65.2,63.8,8.4,2.6,8.1,68.1,70.1,54.5,59.3,81.6,6.3,33.7,35.3,11.0,3.5,28.0,43.0,6.0,50.0,67.8,38.1,21,0.45,1.8,4.2,0.67,1.6,69.0,0.59,2.4,5.8,0.75,1.8,50.2,100.0,58.3
33,Sebastian Baez,10,70.0,64.1,64.7,4.3,3.2,10.3,68.5,70.2,50.9,56.8,80.0,6.5,41.3,41.4,5.0,3.4,35.0,50.9,6.4,69.5,81.1,41.9,74,0.7,3.2,7.4,1.35,3.1,61.1,0.51,2.3,5.4,0.91,2.1,52.7,50.0,65.2
34,Flavio Cobolli,11,63.6,65.0,65.0,8.5,4.5,10.4,56.7,76.3,50.4,56.3,80.0,6.0,35.7,35.6,6.4,3.8,26.0,52.9,6.1,71.0,145.7,44.8,67,0.46,2.2,6.1,0.97,2.7,60.0,0.5,2.4,6.8,0.97,2.7,50.4,50.0,54.8
35,Tallon Griekspoor,7,85.7,71.1,70.9,9.8,3.8,11.8,68.1,79.6,52.9,60.0,88.6,6.1,33.6,35.2,10.6,3.4,27.5,43.6,6.2,123.0,142.4,50.0,30,0.35,1.8,4.3,0.88,2.1,61.5,0.3,1.5,3.7,0.59,1.4,52.4,71.4,70.6
36,Giovanni Mpetshi Perricard,5,100.0,75.0,71.6,26.8,5.9,17.0,65.6,82.5,60.7,73.2,95.5,5.9,34.8,35.0,7.2,3.5,28.0,47.8,6.3,81.0,66.3,46.2,26,0.41,2.0,5.2,0.92,2.4,80.0,0.22,1.2,3.0,0.23,0.6,54.7,75.0,84.6
37,Matteo Arnaldi,6,66.7,63.3,62.0,9.3,3.5,8.4,57.9,71.1,52.6,57.5,84.7,7.0,31.3,32.3,5.8,1.4,26.0,42.8,6.0,73.0,63.7,41.2,34,0.41,2.0,5.7,0.82,2.3,69.8,0.51,2.5,7.2,0.76,2.2,48.7,60.0,58.8
38,Jiri Lehecka,5,60.0,65.6,64.1,10.0,3.3,9.1,63.4,77.1,45.5,50.0,83.3,6.1,30.4,29.3,7.0,4.4,23.0,42.5,5.9,78.0,157.0,42.9,14,0.26,1.3,2.8,0.55,1.2,70.0,0.56,2.7,6.0,0.82,1.8,48.4,100.0,54.5
39,Alexandre Muller,2,100.0,63.2,62.6,3.5,1.2,3.6,67.3,66.1,57.1,59.3,76.9,6.6,46.4,46.6,2.2,1.6,40.9,54.8,7.0,89.5,89.5,52.6,19,0.73,3.8,9.5,2.0,5.0,57.1,0.54,2.8,7.0,1.2,3.0,54.5,100.0,100.0
40,Nuno Borges,10,50.0,63.3,62.1,9.3,3.7,10.3,64.5,71.6,48.4,54.0,76.7,6.6,39.5,39.0,5.0,4.0,30.9,53.2,6.9,80.0,82.6,34.4,90,0.67,3.2,9.0,1.11,3.1,61.7,0.61,2.9,8.1,1.11,3.1,51.1,71.4,53.6
41,Jordan Thompson,12,50.0,64.1,61.3,9.5,1.5,3.8,61.6,72.4,50.7,52.7,78.5,6.2,35.0,34.6,6.0,3.8,28.4,46.7,6.7,86.0,111.0,30.7,75,0.52,2.5,6.3,0.77,1.9,64.4,0.6,2.9,7.3,1.03,2.6,48.9,66.7,46.7
42,Alejandro Tabilo,2,100.0,74.4,76.3,4.8,4.0,10.6,62.4,79.5,66.0,73.8,88.0,5.0,37.9,39.4,7.8,2.6,31.3,56.1,6.1,114.0,91.0,38.9,18,0.72,3.6,9.0,1.4,3.5,40.0,0.2,1.0,2.5,0.6,1.5,54.3,-,80.0
43,Gael Monfils,8,62.5,65.6,65.2,10.3,4.9,12.9,62.0,75.0,50.4,57.8,83.8,6.5,33.4,33.5,6.3,3.0,29.4,39.8,6.2,24.0,45.0,39.1,46,0.43,2.1,5.8,0.82,2.3,67.3,0.5,2.5,6.9,0.82,2.3,50.0,66.7,59.1
