Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
55,Zhizhen Zhang,8,50.0,64.4,60.9,11.7,1.8,4.7,62.0,73.7,49.2,51.6,79.3,6.2,32.9,34.5,10.5,3.1,25.1,45.1,6.2,45.0,67.8,40.0,55,0.41,2.0,6.9,0.79,2.8,49.1,0.41,2.0,6.9,1.0,3.5,48.6,50.0,50.0
56,Roberto Bautista Agut,8,50.0,60.0,60.7,3.0,3.1,9.1,66.0,63.9,52.5,57.7,75.4,6.8,36.4,37.6,11.2,4.8,24.4,55.7,6.4,59.0,53.6,35.6,73,0.53,2.6,9.1,0.93,3.3,62.2,0.65,3.2,11.3,1.21,4.3,48.5,66.7,46.4
57,Jacob Fearnley,2,50.0,70.7,70.9,9.2,3.9,11.0,64.2,78.9,56.1,63.0,89.5,6.0,31.3,32.2,6.0,1.6,24.3,46.8,6.5,95.0,95.0,25.0,16,0.41,2.3,8.0,0.57,2.0,60.0,0.26,1.4,5.0,0.57,2.0,50.1,100.0,57.1
58,Benjamin Bonzi,1,0.0,64.6,65.0,4.7,3.1,8.3,62.2,70.9,54.2,59.1,76.2,6.0,37.6,37.7,4.7,2.7,30.3,48.3,7.1,28.0,28.0,57.1,7,0.33,1.8,7.0,1.0,4.0,50.0,0.48,2.5,10.0,1.25,5.0,50.0,0.0,25.0
59,Roberto Carballes Baena,6,33.3,58.1,57.9,5.7,3.8,9.2,58.4,63.6,50.3,55.4,70.9,6.9,35.5,36.7,7.4,2.4,29.3,46.1,6.2,81.5,90.2,32.8,61,0.6,2.8,10.2,0.91,3.3,65.1,0.83,3.9,14.3,1.36,5.0,47.4,0.0,31.8
60,Camilo Ugo Carabelli,1,0.0,49.4,53.5,1.3,8.9,14.3,38.0,63.3,40.8,47.6,46.2,6.1,30.3,32.8,13.2,2.6,19.5,42.9,5.4,12.0,12.0,50.0,4,0.29,1.3,4.0,0.67,2.0,36.4,0.85,3.7,11.0,2.33,7.0,40.0,-,0.0
61,Fabian Marozsan,8,50.0,60.9,60.7,7.6,4.6,12.3,62.6,68.2,48.7,55.5,72.3,6.4,38.8,40.4,11.8,5.3,27.9,53.4,6.3,21.0,51.7,40.2,82,0.63,2.8,10.3,1.14,4.1,58.1,0.66,3.0,10.8,1.24,4.5,49.9,66.7,48.3
62,Kei Nishikori,3,33.3,54.8,55.6,1.3,2.3,8.0,71.0,54.7,55.1,59.8,74.2,7.7,37.3,41.4,14.1,3.0,32.6,48.3,6.4,76.0,85.7,34.5,29,0.46,2.4,9.7,0.83,3.3,60.0,0.65,3.3,13.3,1.33,5.3,46.8,66.7,41.7
63,Francisco Comesana,6,66.7,65.1,64.1,8.6,3.3,8.7,61.5,73.4,51.8,56.7,83.5,6.7,34.2,33.2,6.1,4.6,26.8,44.9,6.4,21.0,55.0,40.9,44,0.36,1.8,7.3,0.75,3.0,67.2,0.5,2.5,10.2,0.83,3.3,50.0,66.7,54.2
64,Laslo Djere,5,20.0,59.5,59.8,6.0,4.6,11.8,61.1,68.2,45.8,51.9,75.0,7.1,36.0,34.3,6.8,6.1,23.6,53.9,6.2,83.0,90.8,40.0,60,0.54,2.6,12.0,1.04,4.8,61.4,0.65,3.0,14.0,1.17,5.4,48.3,33.3,39.1
66,Jaume Munar,7,42.9,61.2,63.1,5.4,6.2,15.9,60.7,71.4,45.5,54.1,73.9,6.2,40.6,41.5,6.1,2.8,35.0,49.7,6.7,48.0,61.0,37.8,82,0.7,3.2,11.7,1.19,4.4,62.2,0.69,3.2,11.7,1.19,4.4,50.6,-,46.2
67,Juncheng Shang,8,62.5,64.2,64.5,5.8,3.5,8.9,60.2,72.6,51.6,56.6,78.3,6.3,34.8,35.0,9.3,4.6,26.8,47.3,6.0,34.5,48.4,33.3,81,0.54,2.5,10.1,0.82,3.4,64.5,0.61,2.8,11.6,1.0,4.1,50.0,100.0,57.6
68,Mattia Bellucci,4,25.0,67.4,66.9,11.9,5.1,12.9,60.4,79.6,48.8,56.0,85.4,6.4,31.4,33.2,11.7,3.2,22.4,43.9,6.1,56.5,75.8,34.6,26,0.31,1.5,6.5,0.53,2.3,73.9,0.56,2.7,11.5,0.71,3.0,49.8,100.0,47.1
70,Learner Tien,1,0.0,53.3,55.0,1.9,4.7,11.1,57.9,54.8,51.1,57.5,58.8,6.3,35.5,35.9,4.5,1.8,23.1,53.3,6.5,24.0,24.0,42.9,7,0.41,1.8,7.0,0.75,3.0,63.2,1.12,4.8,19.0,1.75,7.0,44.2,-,25.0
71,Daniel Altmaier,6,33.3,63.6,63.5,6.6,3.6,9.3,61.5,74.8,45.8,50.5,76.7,6.3,36.9,35.9,4.5,4.1,30.7,46.5,6.7,44.0,80.0,40.0,65,0.48,2.4,10.8,0.96,4.3,55.7,0.53,2.6,11.7,1.15,5.2,49.7,50.0,40.7
72,Hamad Medjedovic,2,0.0,57.2,56.8,8.0,5.3,13.7,61.4,69.1,38.2,44.3,65.9,6.4,35.0,35.5,12.1,5.8,25.5,47.3,6.6,52.0,52.0,31.6,19,0.49,2.1,9.5,0.67,3.0,61.1,0.88,4.0,18.0,1.56,7.0,46.3,100.0,33.3
73,Bu Yunchaokete,1,0.0,50.0,44.3,12.0,2.2,4.3,50.0,67.4,32.6,34.1,57.1,6.6,26.6,25.4,17.7,7.6,11.9,43.2,5.6,8.0,8.0,66.7,3,0.21,1.0,3.0,0.67,2.0,33.3,0.64,3.0,9.0,2.0,6.0,39.2,0.0,0.0
74,Yoshihito Nishioka,5,20.0,59.5,59.6,3.2,2.4,6.0,60.5,65.4,50.4,53.7,74.7,6.8,31.6,33.0,14.7,5.1,22.8,46.5,6.0,50.0,38.2,38.9,36,0.41,1.9,7.2,0.74,2.8,60.0,0.63,2.9,11.0,1.16,4.4,46.3,33.3,31.6
75,Arthur Rinderknech,7,42.9,65.1,62.0,13.1,3.1,8.2,62.2,74.8,49.0,53.4,80.7,6.2,34.3,35.3,7.9,2.9,27.6,46.0,6.8,65.0,102.1,23.1,91,0.61,2.9,13.0,0.68,3.0,59.7,0.48,2.3,10.3,0.94,4.1,49.1,80.0,51.6
76,Alexander Bublik,7,42.9,63.0,60.6,16.2,6.6,15.9,58.6,76.6,43.6,51.9,77.2,6.2,35.4,34.6,5.9,4.5,27.2,49.0,6.2,78.0,78.7,35.9,64,0.52,2.6,9.1,0.92,3.3,59.4,0.56,2.8,9.9,1.12,4.0,49.2,33.3,44.0
77,Roman Safiullin,7,42.9,64.9,64.8,5.9,3.0,8.2,63.1,71.4,53.8,58.6,78.5,6.0,38.3,38.4,5.4,3.3,32.3,48.4,6.5,34.0,296.1,36.5,96,0.64,3.2,13.7,1.17,5.0,59.0,0.52,2.6,11.1,1.07,4.6,51.1,50.0,50.0
78,Hugo Gaston,5,20.0,56.4,56.8,3.2,3.2,7.7,57.8,61.4,49.5,53.6,64.5,6.5,36.3,37.5,7.3,2.4,31.3,46.3,6.3,63.0,51.2,35.7,42,0.54,2.5,8.4,0.88,3.0,51.8,0.74,3.3,11.2,1.59,5.4,46.3,0.0,23.5
79,Aleksandar Vukic,5,20.0,61.5,58.8,9.6,2.2,5.3,57.7,69.6,50.4,53.2,76.0,6.7,32.1,34.4,12.8,3.2,22.1,45.8,6.2,45.0,47.2,36.6,41,0.41,2.1,8.2,0.75,3.0,63.6,0.66,3.3,13.2,1.2,4.8,47.3,25.0,30.0
80,Aleksandar Kovacevic,5,20.0,61.8,58.6,14.0,4.5,10.7,58.0,73.7,45.3,50.7,76.7,6.4,29.7,33.8,18.3,3.2,20.2,45.3,5.8,15.0,19.8,36.7,30,0.33,1.6,6.0,0.58,2.2,61.1,0.6,2.8,10.8,1.11,4.2,46.4,50.0,26.3
81,Christopher Oconnell,6,50.0,61.3,59.2,9.1,2.6,6.0,56.4,73.7,45.4,48.2,79.2,6.5,33.1,35.0,15.2,5.2,24.8,46.9,6.1,21.0,40.3,32.7,52,0.49,2.3,8.7,0.74,2.8,59.3,0.51,2.3,9.0,0.96,3.7,47.7,0.0,43.5
82,Rinky Hijikata,5,20.0,59.0,58.2,7.5,4.0,9.8,59.5,69.9,43.0,47.7,71.7,7.1,34.2,36.1,11.3,3.5,25.8,46.2,6.5,40.0,36.2,37.5,40,0.43,2.1,8.0,0.79,3.0,66.2,0.84,4.1,15.4,1.37,5.2,47.1,40.0,31.6
83,Corentin Moutet,5,60.0,58.3,58.3,2.2,1.6,4.8,66.2,64.5,46.1,48.4,67.9,6.3,41.7,41.7,3.4,2.4,35.8,52.6,6.3,19.0,28.2,48.1,54,0.69,2.8,10.8,1.37,5.2,55.4,0.72,2.9,11.2,1.32,5.0,50.0,0.0,52.6
84,Borna Coric,5,20.0,63.0,60.8,9.7,2.7,7.1,62.0,68.8,53.6,57.7,77.2,6.5,34.8,35.1,7.9,3.8,23.4,50.4,6.8,42.0,71.4,35.5,31,0.39,1.9,6.2,0.69,2.2,63.3,0.62,3.1,9.8,1.13,3.6,48.5,20.0,25.0
85,Botic Van De Zandschulp,7,42.9,59.4,60.9,6.3,6.5,16.1,59.7,72.4,40.2,47.9,70.2,6.2,37.9,36.4,5.3,5.3,29.2,49.6,6.2,25.0,57.4,36.9,65,0.63,3.0,9.3,1.09,3.4,56.3,0.68,3.2,10.1,1.41,4.4,48.7,0.0,40.9
87,Jan Lennard Struff,9,55.6,65.3,65.1,11.8,6.0,14.3,58.0,76.7,49.6,57.9,82.1,6.4,38.3,39.2,9.2,4.5,28.4,54.2,6.7,43.0,55.3,38.1,105,0.6,2.8,11.7,1.08,4.4,61.0,0.46,2.2,9.1,0.86,3.6,51.7,50.0,56.8
88,Adam Walton,5,20.0,63.8,63.3,4.6,1.9,5.6,65.0,69.0,54.0,57.2,78.4,6.4,35.5,38.0,10.3,2.3,27.9,49.8,6.7,72.0,76.2,35.6,45,0.49,2.5,9.0,0.89,3.2,62.0,0.57,2.8,10.0,1.06,3.8,49.1,25.0,33.3
90,James Duckworth,3,0.0,59.7,58.3,7.8,3.1,7.4,57.7,70.2,45.5,49.1,77.4,7.2,31.5,31.4,10.1,4.8,17.3,46.0,6.4,31.0,39.7,41.2,17,0.29,1.4,5.7,0.58,2.3,66.7,0.68,3.5,14.0,1.17,4.7,46.8,25.0,25.0
91,Cameron Norrie,8,62.5,67.0,66.3,6.8,2.5,7.3,65.5,74.2,53.4,57.5,86.2,6.2,35.9,37.3,10.7,4.1,26.1,54.0,6.3,42.0,48.3,50.0,68,0.43,2.2,8.5,1.1,4.3,68.1,0.43,2.2,8.6,0.71,2.8,51.4,28.6,61.3
92,Vit Kopriva,2,0.0,51.6,51.6,6.9,6.5,14.8,56.1,65.2,34.3,40.2,56.3,7.7,29.3,30.3,12.6,4.0,20.2,44.6,5.1,14.0,14.0,75.0,8,0.24,1.0,4.0,0.75,3.0,57.6,1.03,4.1,16.5,1.75,7.0,42.4,-,25.0
93,Jesper De Jong,4,50.0,59.6,59.2,6.4,3.8,9.2,58.3,66.4,50.0,55.1,68.9,6.4,36.8,36.5,5.4,3.5,30.5,46.4,5.8,21.5,30.0,63.3,30,0.41,1.9,7.5,1.19,4.8,51.1,0.64,2.9,11.8,1.44,5.8,48.8,0.0,43.8
94,Reilly Opelka,1,0.0,59.3,55.9,17.0,7.4,18.5,60.0,72.8,38.9,47.7,78.9,7.1,30.7,28.7,6.1,5.3,24.6,36.8,6.0,18.0,18.0,50.0,6,0.32,1.5,6.0,0.75,3.0,63.6,0.58,2.8,11.0,1.0,4.0,46.2,0.0,25.0
95,Luca Nardi,3,0.0,51.9,53.7,5.3,8.0,18.1,55.7,66.4,33.6,41.1,55.8,6.1,34.8,32.7,5.3,5.7,22.3,52.6,6.4,67.0,62.7,40.0,20,0.45,2.2,6.7,0.89,2.7,32.1,0.65,3.1,9.3,2.11,6.3,43.0,0.0,0.0
96,Mackenzie Mcdonald,4,0.0,59.6,59.6,4.9,3.3,9.4,65.2,64.2,51.2,56.5,69.1,6.0,38.0,38.2,7.2,4.2,31.8,47.6,6.4,56.0,63.3,37.3,51,0.62,2.8,12.8,1.06,4.8,45.7,0.57,2.6,11.5,1.39,6.3,48.4,0.0,33.3
97,Alexander Shevchenko,6,33.3,56.1,56.1,6.1,4.9,10.9,55.0,61.5,49.4,55.4,64.7,6.8,38.2,38.7,4.8,2.3,30.4,52.7,6.0,80.5,60.3,42.6,61,0.58,2.5,10.2,1.08,4.3,56.6,0.81,3.5,13.8,1.5,6.0,47.5,50.0,37.5
98,Pablo Carreno Busta,2,0.0,45.8,47.9,0.5,5.0,12.5,60.2,55.4,31.3,35.7,37.9,6.9,36.8,39.8,9.2,1.1,29.5,47.9,6.2,61.0,61.0,36.8,19,0.63,2.7,9.5,1.0,3.5,41.9,1.07,4.4,15.5,2.57,9.0,41.5,-,14.3
99,Mariano Navone,5,40.0,55.6,55.3,4.3,2.9,8.9,67.4,59.1,48.3,53.0,65.4,6.8,42.2,41.0,3.5,4.4,38.9,49.7,6.6,89.0,282.0,45.9,61,0.73,3.2,12.2,1.47,5.6,54.8,0.77,3.3,12.4,1.47,5.6,48.9,0.0,42.1
