Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
31,Hubert Hurkacz,4,100.0,70.1,64.5,21.0,2.8,7.4,61.8,81.6,51.4,55.6,90.7,6.1,39.6,37.2,2.0,5.1,33.0,49.0,6.8,175.0,209.3,40.0,40,0.56,2.7,10.0,1.07,4.0,63.2,0.25,1.3,4.8,0.47,1.8,54.3,100.0,80.0
32,Alex Michelsen,9,55.6,60.9,60.4,4.8,2.3,7.6,69.4,65.9,49.6,53.7,71.6,6.7,38.8,40.1,9.3,4.0,31.0,50.5,6.1,118.0,146.2,50.8,63,0.55,2.4,7.0,1.23,3.6,56.6,0.66,2.9,8.4,1.27,3.7,50.4,50.0,57.7
33,Sebastian Baez,4,75.0,60.5,60.1,3.5,1.6,6.0,72.9,62.6,54.9,58.4,77.1,7.0,42.7,44.5,8.6,3.7,36.0,51.0,6.5,61.0,83.3,48.9,47,0.67,2.9,11.8,1.44,5.8,69.8,0.76,3.3,13.3,1.0,4.0,52.0,50.0,56.3
34,Flavio Cobolli,8,87.5,64.9,63.5,9.7,3.4,7.7,55.0,73.8,54.0,58.5,82.0,6.1,40.7,40.6,4.5,3.3,30.9,56.6,6.3,70.5,71.4,41.3,92,0.7,3.4,11.5,1.41,4.8,57.4,0.42,2.0,6.8,0.85,2.9,52.4,0.0,66.7
35,Tallon Griekspoor,5,100.0,67.3,68.2,9.1,5.5,13.8,60.2,74.2,56.9,66.0,85.4,6.2,35.6,35.6,6.6,3.7,31.4,43.6,6.0,73.0,69.0,47.8,46,0.53,2.6,9.2,1.22,4.4,62.9,0.39,1.9,7.0,0.72,2.6,51.9,75.0,77.8
36,Giovanni Mpetshi Perricard,4,25.0,66.5,63.8,18.1,6.1,17.1,64.3,76.9,47.7,57.5,85.4,6.6,23.9,24.3,11.3,3.1,14.7,37.8,5.9,74.0,101.3,40.0,10,0.13,0.7,2.5,0.27,1.0,75.0,0.59,3.2,12.0,0.8,3.0,47.1,42.9,33.3
37,Matteo Arnaldi,8,87.5,64.6,62.3,10.7,2.7,6.9,61.0,71.9,53.3,57.2,81.9,6.4,40.5,40.6,3.9,2.5,32.1,53.5,6.2,76.5,82.9,44.3,79,0.71,3.3,9.9,1.46,4.4,65.0,0.52,2.5,7.5,0.88,2.6,53.0,100.0,79.2
38,Jiri Lehecka,2,100.0,66.7,67.3,6.5,4.2,9.1,54.2,74.7,57.1,62.9,88.9,6.2,42.6,42.4,8.3,6.5,39.4,47.7,6.0,79.5,79.5,45.5,22,0.79,3.1,11.0,1.43,5.0,72.7,0.41,1.6,5.5,0.43,1.5,54.6,-,85.7
39,Alexandre Muller,8,75.0,64.6,63.6,6.4,2.1,6.7,68.8,70.3,52.2,55.9,81.0,6.4,40.0,41.3,8.7,3.8,27.7,59.1,6.1,92.0,195.5,55.2,67,0.54,2.7,8.4,1.48,4.6,59.3,0.47,2.4,7.4,0.96,3.0,52.7,62.5,68.0
40,Nuno Borges,8,37.5,62.8,62.2,8.8,4.3,10.4,58.7,73.1,48.2,53.8,77.7,6.7,38.6,38.0,4.7,3.8,31.0,52.8,6.9,74.5,67.8,36.4,66,0.59,3.0,8.3,1.09,3.0,63.8,0.62,3.1,8.6,1.14,3.1,50.5,33.3,40.9
