Rk,Player,M,M W%,SPW,SPW-InP,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Pts/RG,MdOppRk,MnOppRk,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%
26,Alejandro Davidovich Fokina,7,28.6,60.2,60.3,3.4,2.5,8.4,70.5,62.8,53.9,58.9,73.2,6.7,38.5,39.5,6.6,2.7,33.6,48.6,6.6,54.5,62.4,38.1,63,0.66,3.2,9.0,1.2,3.4,57.4,0.63,3.1,8.7,1.3,3.7,49.5,20.0,40.0
27,Felix Auger Aliassime,25,68.0,67.3,67.4,9.3,4.6,12.4,62.8,76.9,51.0,58.2,85.4,6.3,39.1,38.7,3.9,3.0,34.2,48.4,6.6,34.5,53.0,42.6,162,0.6,2.7,6.5,1.17,2.8,64.9,0.42,1.9,4.6,0.68,1.6,53.0,60.0,64.4
28,Denis Shapovalov,11,45.5,62.5,64.9,7.5,7.8,18.8,58.7,72.0,49.0,60.4,81.2,6.7,34.3,33.8,3.7,2.6,32.6,37.7,6.2,47.0,46.3,44.4,63,0.42,2.1,5.7,0.93,2.5,69.6,0.62,3.1,8.4,0.93,2.5,48.9,42.9,50.0
29,Brandon Nakashima,10,50.0,68.7,66.4,9.7,1.4,4.0,64.3,74.9,57.7,60.1,90.5,6.6,34.4,34.3,6.8,3.8,28.7,43.2,6.9,53.5,63.0,24.0,75,0.61,3.0,7.5,0.72,1.8,77.8,0.43,2.2,5.4,0.48,1.2,51.6,37.5,52.0
30,Matteo Berrettini,16,93.8,73.0,71.5,10.4,2.1,7.7,73.1,79.8,54.6,59.1,92.4,5.9,37.7,37.9,4.8,2.7,32.3,47.6,6.7,65.0,80.4,39.0,100,0.58,2.9,6.3,1.15,2.4,72.9,0.28,1.4,3.0,0.38,0.8,54.1,90.9,88.2
31,Hubert Hurkacz,18,77.8,67.2,63.2,13.0,1.2,3.4,63.3,75.3,53.4,55.2,86.9,6.3,37.9,37.6,4.2,3.0,33.1,46.1,6.8,69.0,84.8,40.0,125,0.53,2.6,6.9,1.04,2.8,70.1,0.44,2.2,5.9,0.67,1.8,52.3,69.2,66.7
32,Alex Michelsen,9,33.3,57.0,57.2,3.3,2.9,10.3,71.6,59.9,49.5,55.2,63.1,6.8,36.0,36.0,5.8,3.3,30.9,43.3,6.2,79.0,124.2,41.7,48,0.43,2.0,5.3,0.83,2.2,52.3,0.77,3.6,9.6,1.71,4.6,47.0,75.0,37.5
33,Sebastian Baez,37,70.3,62.1,62.3,3.1,2.3,8.1,72.0,65.6,52.9,57.6,77.5,6.7,41.6,41.8,4.4,2.8,36.0,51.3,6.6,76.0,81.5,43.0,335,0.73,3.5,9.1,1.5,3.9,63.8,0.62,2.9,7.6,1.06,2.8,51.9,50.0,63.5
34,Flavio Cobolli,18,55.6,64.4,64.0,7.0,3.4,8.2,57.9,73.9,51.3,55.9,82.6,6.4,38.5,37.9,3.8,3.4,30.3,51.8,6.6,45.5,91.8,38.7,142,0.63,3.0,7.9,1.17,3.1,65.2,0.5,2.4,6.4,0.85,2.2,51.4,10.0,53.2
35,Tallon Griekspoor,16,50.0,65.0,65.1,7.7,4.2,11.1,61.9,72.0,53.8,60.4,80.0,6.2,36.0,36.0,6.2,3.5,29.9,48.1,6.3,43.0,66.9,40.2,97,0.46,2.1,6.1,0.85,2.4,60.9,0.51,2.4,6.9,0.93,2.7,50.6,42.9,50.0
36,Giovanni Mpetshi Perricard,5,80.0,65.4,62.8,12.3,3.2,9.9,67.3,72.2,51.3,56.9,79.2,6.0,36.0,34.9,5.5,4.7,29.0,47.7,6.5,61.0,64.8,44.1,34,0.47,2.3,6.8,1.0,3.0,62.8,0.56,2.9,8.6,1.07,3.2,50.6,100.0,66.7
37,Matteo Arnaldi,17,52.9,60.1,59.2,8.0,3.9,9.0,56.5,69.7,47.7,52.5,73.9,6.8,40.3,40.2,3.6,2.5,35.4,49.1,6.7,49.0,58.9,42.0,143,0.69,3.3,8.4,1.4,3.5,63.8,0.72,3.5,8.9,1.28,3.2,50.3,42.9,53.5
38,Jiri Lehecka,5,80.0,76.1,75.0,10.7,2.1,6.8,68.4,86.3,54.1,58.0,97.6,5.7,35.9,37.0,6.7,2.2,29.8,47.8,6.6,118.0,159.8,33.3,21,0.51,3.0,4.2,1.0,1.4,83.3,0.15,0.9,1.2,0.14,0.2,54.6,100.0,100.0
39,Alexandre Muller,14,50.0,60.5,60.9,3.1,2.7,7.0,62.2,66.6,50.5,54.4,73.5,6.3,39.4,40.3,8.2,4.1,27.7,55.2,6.9,52.0,59.8,33.3,117,0.75,3.7,8.4,1.22,2.8,54.9,0.59,2.8,6.5,1.28,2.9,49.5,60.0,46.9
