Rk,Player,M,M W%,SPW,Ace%,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,RPW,vAce%,vDF%,v1st%,v2nd%,Brk%,BPConv%,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,TPW%,TB W%,S W%,G W%
80,Aleksandar Kovacevic,13,46.2,68.5,11.1,3.9,9.7,59.7,79.1,52.9,58.6,89.3,31.5,10.8,3.0,23.7,43.8,11.9,38.8,49,0.31,1.6,3.8,0.61,1.5,75.4,0.43,2.2,5.3,0.55,1.3,50.4,40.0,48.4,50.6
81,Christopher Oconnell,14,50.0,63.9,9.9,2.9,7.2,60.0,73.3,49.8,53.6,82.1,33.1,12.9,2.7,24.5,49.7,15.1,40.4,57,0.38,1.8,4.1,0.74,1.6,66.3,0.53,2.6,5.7,0.87,1.9,49.1,66.7,51.6,48.5
82,Rinky Hijikata,14,64.3,60.6,5.0,3.9,9.5,59.3,69.2,48.0,53.1,73.5,39.1,7.1,3.3,30.5,53.4,25.3,35.6,118,0.71,3.4,8.4,1.2,3.0,60.2,0.67,3.1,7.7,1.23,3.1,49.7,85.7,57.1,49.1
83,Corentin Moutet,9,44.4,61.1,3.0,1.9,6.0,67.9,65.0,52.7,56.1,70.0,40.8,3.8,3.3,36.5,50.0,29.1,41.1,73,0.71,3.3,8.1,1.36,3.3,54.5,0.66,3.0,7.3,1.36,3.3,50.5,0.0,45.5,49.3
84,Borna Coric,9,22.2,61.8,8.0,4.1,10.0,59.2,75.3,42.3,47.0,78.0,33.5,11.4,3.5,25.6,44.9,13.0,31.0,42,0.42,2.1,4.7,0.65,1.4,65.1,0.63,3.2,7.0,1.1,2.4,47.9,20.0,30.0,45.5
85,Botic Van De Zandschulp,13,53.8,59.7,5.8,5.0,12.4,60.0,70.3,43.8,50.0,72.0,40.6,7.3,4.2,30.4,55.5,25.2,35.3,102,0.71,3.3,7.8,1.16,2.8,61.9,0.73,3.4,8.1,1.29,3.1,50.2,66.7,48.4,48.6
86,Raphael Collignon,1,0.0,35.9,2.6,30.8,54.5,43.6,58.8,18.2,40.0,28.6,28.3,15.2,2.2,14.7,66.7,0.0,0.0,2,0.29,1.0,2.0,0.0,0.0,16.7,0.86,3.0,6.0,2.5,5.0,31.8,-,0.0,14.3
87,Jan Lennard Struff,16,50.0,67.2,11.4,5.1,12.1,58.3,77.2,53.3,60.6,82.9,34.3,10.2,4.0,24.5,48.2,12.0,28.6,91,0.42,2.2,5.7,0.62,1.6,57.0,0.4,2.0,5.4,0.88,2.3,49.9,66.7,47.6,47.3
88,Adam Walton,4,50.0,65.7,8.2,2.9,8.2,65.3,76.3,45.9,50.0,84.6,33.9,12.2,3.0,27.7,45.1,15.4,37.5,16,0.41,2.0,4.0,0.75,1.5,71.4,0.54,2.6,5.3,0.75,1.5,50.3,0.0,50.0,50.0
90,James Duckworth,9,55.6,67.1,10.2,2.5,6.2,59.8,76.3,53.5,57.1,86.0,33.0,16.7,4.0,24.0,52.4,15.8,36.6,41,0.43,2.2,4.6,0.79,1.7,77.6,0.62,3.1,6.4,0.68,1.4,50.3,75.0,57.9,50.5
91,Cameron Norrie,14,35.7,65.6,7.4,2.3,6.9,66.9,72.0,52.6,56.5,81.7,31.4,12.6,2.9,26.1,42.9,13.1,30.3,76,0.43,2.2,5.4,0.68,1.6,65.2,0.53,2.7,6.6,0.94,2.3,48.6,33.3,35.3,47.4
92,Vit Kopriva,4,0.0,55.1,3.7,4.0,10.7,62.1,64.5,39.8,44.6,59.1,35.7,6.1,2.1,26.5,54.9,23.4,57.9,19,0.4,2.1,4.8,1.22,2.8,40.0,0.68,3.3,7.5,2.0,4.5,45.3,0.0,11.1,40.7
93,Jesper De Jong,2,0.0,61.7,6.0,3.8,7.7,51.1,77.9,44.6,48.3,73.7,24.6,21.1,7.0,11.4,45.5,0.0,0.0,1,0.05,0.3,0.5,0.0,0.0,61.5,0.68,3.3,6.5,1.25,2.5,44.5,0.0,0.0,36.8
94,Reilly Opelka,4,50.0,67.4,19.2,4.5,11.8,62.2,81.2,44.5,50.5,79.2,31.4,7.7,3.7,21.9,49.5,13.3,25.0,24,0.53,2.4,6.0,0.6,1.5,61.5,0.54,2.6,6.5,1.0,2.5,50.0,100.0,50.0,47.3
95,Luca Nardi,5,40.0,59.1,3.4,6.1,18.5,66.8,64.3,48.6,59.7,73.0,36.1,4.3,3.3,27.4,51.0,20.3,34.2,38,0.59,2.9,7.6,1.0,2.6,64.6,0.76,3.7,9.6,1.31,3.4,47.9,50.0,46.2,46.5
96,Mackenzie Mcdonald,6,50.0,54.9,3.3,4.8,14.5,66.8,62.5,39.7,46.4,59.7,41.9,8.9,4.6,30.7,59.2,31.7,47.6,42,0.67,3.0,7.0,1.43,3.3,46.8,0.76,3.4,7.8,1.79,4.2,48.6,100.0,42.9,45.6
97,Alexander Shevchenko,18,55.6,61.0,7.8,3.0,7.5,59.9,68.7,49.5,53.5,74.4,38.7,4.5,2.8,31.6,50.8,23.2,41.1,124,0.56,2.8,6.9,1.16,2.8,57.9,0.61,3.0,7.4,1.27,3.1,49.8,88.9,54.5,48.7
98,Pablo Carreno Busta,5,40.0,64.6,5.7,2.6,6.8,62.0,72.4,51.9,55.6,78.2,35.2,9.3,1.9,27.0,44.9,23.6,50.0,26,0.47,2.2,5.2,1.08,2.6,58.6,0.53,2.4,5.8,1.0,2.4,50.5,0.0,50.0,50.9
99,Mariano Navone,14,35.7,58.1,4.7,2.7,7.5,63.9,64.8,46.2,50.0,67.9,37.4,5.2,2.3,31.1,47.7,21.1,42.3,71,0.5,2.3,5.1,0.97,2.1,53.6,0.69,3.1,6.9,1.45,3.2,47.5,33.3,35.5,44.3
