Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
23,Sebastian Korda[USA],6,5-1,83.3%,67.2%,65.0%,40,9.9%,8,2.0%,5.0%,60.5%,78.4%,50.0%,52.6%,85.3%,6.0,2.0,Sebastian Korda[USA],6,39.0%,37.8%,5.3%,5.1%,25.6%,57.9%,24.6%,6.4,2.5,23.0,37.3,Sebastian Korda[USA],6,40.0%,16,40,0.62,2.9,6.7,1.14,2.7,56.5%,13,23,0.34,1.6,3.8,0.71,1.7,Sebastian Korda[USA],6,1.19,818,52.9%,3,1-2,33.3%,21.4%,14,10-4,71.4%,133,74-59,55.6%,1:34,40.3,41.4
24,Karen Khachanov[RUS],7,5-2,71.4%,68.5%,66.4%,24,7.4%,2,0.6%,2.0%,69.1%,72.8%,59.0%,60.2%,85.5%,5.9,1.9,Karen Khachanov[RUS],7,39.0%,42.4%,12.3%,3.1%,25.7%,60.5%,30.9%,5.9,2.3,41.0,53.0,Karen Khachanov[RUS],7,41.5%,17,41,0.75,3.2,5.9,1.31,2.4,63.6%,14,22,0.40,1.7,3.1,0.62,1.1,Karen Khachanov[RUS],7,1.24,650,53.7%,0,0-0,-,0.0%,13,9-4,69.2%,110,64-46,58.2%,1:09,37.0,44.4
25,Alexei Popyrin[AUS],2,2-0,100.0%,66.5%,66.7%,13,8.1%,7,4.3%,11.3%,61.5%,73.7%,54.8%,61.8%,84.6%,6.2,2.1,Alexei Popyrin[AUS],2,41.5%,41.9%,6.5%,4.0%,31.9%,55.6%,22.2%,7.4,3.1,13.5,13.5,Alexei Popyrin[AUS],2,22.2%,6,27,1.00,5.4,13.5,1.20,3.0,66.7%,8,12,0.46,2.4,6.0,0.80,2.0,Alexei Popyrin[AUS],2,1.24,361,52.6%,1,1-0,100.0%,20.0%,5,4-1,80.0%,53,28-25,52.8%,2:02,48.8,40.6
26,Alejandro Davidovich Fokina[ESP],3,0-3,0.0%,58.2%,59.5%,5,2.3%,8,3.8%,12.1%,69.0%,61.9%,50.0%,56.9%,71.0%,6.9,2.9,Alejandro Davidovich Fokina[ESP],3,29.6%,33.5%,15.8%,2.0%,23.1%,40.0%,8.8%,5.8,1.7,21.0,22.0,Alejandro Davidovich Fokina[ESP],3,37.5%,3,8,0.24,1.1,2.7,0.43,1.0,69.0%,20,29,0.94,4.1,9.7,1.29,3.0,Alejandro Davidovich Fokina[ESP],3,0.71,409,44.5%,1,0-1,0.0%,14.3%,7,1-6,14.3%,65,25-40,38.5%,1:50,47.0,48.3
27,Felix Auger Aliassime[CAN],5,2-3,40.0%,65.8%,64.2%,51,12.8%,19,4.8%,13.9%,65.8%,71.1%,55.5%,64.4%,85.9%,6.3,2.1,Felix Auger Aliassime[CAN],5,35.5%,35.6%,5.7%,3.0%,31.6%,43.1%,18.0%,6.7,2.4,44.0,54.2,Felix Auger Aliassime[CAN],5,33.3%,11,33,0.54,2.8,6.6,0.92,2.2,64.0%,16,25,0.39,2.1,5.0,0.75,1.8,Felix Auger Aliassime[CAN],5,1.04,806,50.5%,4,0-4,0.0%,33.3%,12,5-7,41.7%,125,66-59,52.8%,1:35,39.5,35.3
28,Denis Shapovalov[CAN],3,1-2,33.3%,72.3%,74.7%,23,10.3%,15,6.7%,19.5%,65.6%,81.0%,55.8%,69.4%,94.4%,6.2,1.7,Denis Shapovalov[CAN],3,33.2%,35.6%,12.2%,3.1%,28.9%,42.7%,13.5%,7.1,2.4,50.0,45.0,Denis Shapovalov[CAN],3,33.3%,5,15,0.41,2.5,5.0,0.83,1.7,81.8%,9,11,0.31,1.8,3.7,0.33,0.7,Denis Shapovalov[CAN],3,1.20,486,51.2%,3,1-2,33.3%,50.0%,6,3-3,50.0%,73,39-34,53.4%,1:06,32.8,24.3
29,Brandon Nakashima[USA],2,1-1,50.0%,71.2%,70.4%,16,11.0%,5,3.4%,11.1%,69.2%,76.2%,60.0%,67.5%,91.3%,6.3,1.8,Brandon Nakashima[USA],2,34.0%,34.3%,4.7%,2.0%,28.4%,45.8%,13.6%,6.8,2.3,35.0,44.0,Brandon Nakashima[USA],2,30.0%,3,10,0.45,2.5,5.0,0.75,1.5,75.0%,6,8,0.35,2.0,4.0,0.50,1.0,Brandon Nakashima[USA],2,1.18,296,52.4%,1,0-1,0.0%,25.0%,4,2-2,50.0%,45,24-21,53.3%,1:51,55.5,45.0
30,Matteo Berrettini[ITA],5,4-1,80.0%,73.9%,73.5%,36,11.2%,11,3.4%,12.1%,71.7%,81.8%,53.8%,61.3%,94.3%,6.1,1.6,Matteo Berrettini[ITA],5,32.8%,32.4%,5.4%,3.1%,27.4%,42.0%,7.7%,6.8,2.2,61.0,69.4,Matteo Berrettini[ITA],5,17.4%,4,23,0.44,2.3,4.6,0.40,0.8,84.2%,16,19,0.36,1.9,3.8,0.30,0.6,Matteo Berrettini[ITA],5,1.26,676,52.4%,4,4-0,100.0%,40.0%,10,8-2,80.0%,105,54-51,51.4%,1:41,50.6,44.9
31,Hubert Hurkacz[POL],9,4-5,44.4%,65.8%,63.3%,82,10.7%,17,2.2%,5.8%,61.9%,75.1%,50.9%,54.0%,83.3%,6.4,2.2,Hubert Hurkacz[POL],9,36.8%,37.0%,6.6%,3.6%,30.3%,49.3%,20.0%,6.8,2.5,53.0,50.4,Hubert Hurkacz[POL],9,32.9%,23,70,0.61,3.0,7.8,1.00,2.6,71.0%,49,69,0.57,3.0,7.7,0.87,2.2,Hubert Hurkacz[POL],9,1.08,1549,51.1%,5,2-3,40.0%,21.7%,23,13-10,56.5%,235,123-112,52.3%,2:03,48.0,42.7
32,Alex Michelsen[USA],8,3-5,37.5%,65.9%,66.2%,46,6.9%,26,3.9%,12.6%,68.9%,71.6%,53.4%,61.1%,84.5%,6.0,2.1,Alex Michelsen[USA],8,36.6%,37.2%,10.2%,5.2%,25.5%,53.2%,19.8%,6.6,2.4,51.0,62.9,Alex Michelsen[USA],8,34.4%,22,64,0.58,3.0,8.0,1.05,2.8,61.4%,27,44,0.40,2.1,5.5,0.81,2.1,Alex Michelsen[USA],8,1.07,1400,50.5%,7,1-6,14.3%,33.3%,21,9-12,42.9%,221,115-106,52.0%,2:04,47.2,42.5
