Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],7,2-5,28.6%,66.4%,65.4%,76,14.3%,32,6.0%,14.2%,57.8%,78.2%,50.2%,58.5%,82.8%,6.1,2.1,Jakub Mensik[CZE],7,35.8%,36.2%,7.3%,3.4%,27.2%,51.2%,16.1%,6.5,2.3,122.0,161.9,Jakub Mensik[CZE],7,34.1%,14,41,0.47,2.1,5.9,0.70,2.0,58.3%,21,36,0.41,1.8,5.1,0.75,2.1,Jakub Mensik[CZE],7,1.06,1098,50.6%,4,1-3,25.0%,20.0%,20,9-11,45.0%,174,86-88,49.4%,1:52,39.2,42.8
22,Ugo Humbert[FRA],6,4-2,66.7%,62.6%,60.9%,38,8.0%,11,2.3%,6.7%,65.3%,69.5%,49.7%,53.2%,79.2%,6.2,2.3,Ugo Humbert[FRA],6,41.5%,41.3%,4.7%,3.6%,33.3%,57.1%,30.7%,6.3,2.6,71.0,88.3,Ugo Humbert[FRA],6,32.9%,23,70,0.93,4.1,11.7,1.35,3.8,56.8%,21,37,0.48,2.2,6.2,0.94,2.7,Ugo Humbert[FRA],6,1.11,948,52.1%,0,0-0,-,0.0%,17,11-6,64.7%,152,84-68,55.3%,1:57,41.2,44.4
23,Sebastian Korda[USA],1,1-0,100.0%,68.2%,68.8%,3,3.5%,2,2.4%,5.6%,57.6%,77.6%,55.6%,58.8%,92.3%,6.5,2.1,Sebastian Korda[USA],1,49.4%,46.9%,1.1%,5.7%,40.4%,60.0%,50.0%,7.3,3.6,69.0,69.0,Sebastian Korda[USA],1,46.2%,6,13,1.08,4.3,13.0,2.00,6.0,85.7%,6,7,0.54,2.3,7.0,0.33,1.0,Sebastian Korda[USA],1,1.56,172,58.7%,1,1-0,100.0%,33.3%,3,3-0,100.0%,25,18-7,72.0%,2:13,44.3,46.4
24,Karen Khachanov[RUS],4,1-3,25.0%,58.5%,55.0%,37,10.5%,8,2.3%,6.0%,62.2%,66.7%,45.1%,48.0%,70.6%,6.9,2.9,Karen Khachanov[RUS],4,38.3%,39.7%,7.6%,2.7%,28.4%,52.6%,22.0%,6.6,2.5,24.0,24.5,Karen Khachanov[RUS],4,42.3%,11,26,0.52,2.9,6.5,1.22,2.8,57.1%,20,35,0.69,3.9,8.8,1.67,3.8,Karen Khachanov[RUS],4,0.92,681,48.8%,4,2-2,50.0%,44.4%,9,3-6,33.3%,101,47-54,46.5%,2:19,61.8,49.0
25,Alexei Popyrin[AUS],6,5-1,83.3%,70.6%,68.7%,53,11.4%,11,2.4%,7.7%,69.5%,75.3%,59.9%,64.9%,89.6%,6.1,1.8,Alexei Popyrin[AUS],6,36.4%,36.8%,5.1%,2.4%,33.7%,41.8%,19.7%,6.5,2.4,70.5,84.0,Alexei Popyrin[AUS],6,37.5%,15,40,0.53,2.5,6.7,0.94,2.5,68.0%,17,25,0.32,1.6,4.2,0.50,1.3,Alexei Popyrin[AUS],6,1.24,960,53.0%,2,1-1,50.0%,12.5%,16,11-5,68.8%,153,84-69,54.9%,1:54,42.8,42.8
26,Alejandro Davidovich Fokina[ESP],4,2-2,50.0%,64.9%,63.8%,24,8.6%,9,3.2%,9.9%,67.4%,71.8%,50.5%,56.1%,81.8%,6.3,2.2,Alejandro Davidovich Fokina[ESP],4,35.6%,37.6%,8.5%,1.9%,28.4%,48.9%,18.6%,6.3,2.2,67.5,70.0,Alejandro Davidovich Fokina[ESP],4,50.0%,8,16,0.37,1.8,4.0,0.89,2.0,69.2%,18,26,0.59,2.9,6.5,0.89,2.0,Alejandro Davidovich Fokina[ESP],4,1.01,549,50.5%,1,0-1,0.0%,11.1%,9,5-4,55.6%,87,44-43,50.6%,1:42,45.2,44.5
27,Felix Auger Aliassime[CAN],10,7-3,70.0%,70.4%,69.6%,90,11.8%,31,4.1%,10.7%,61.9%,78.6%,57.0%,63.8%,92.7%,6.2,1.8,Felix Auger Aliassime[CAN],10,39.6%,39.3%,3.4%,2.7%,35.2%,48.3%,24.6%,6.8,2.7,64.5,57.6,Felix Auger Aliassime[CAN],10,39.2%,31,79,0.63,3.0,7.9,1.19,3.1,67.9%,19,28,0.23,1.1,2.8,0.35,0.9,Felix Auger Aliassime[CAN],10,1.34,1616,54.1%,7,3-4,42.9%,26.9%,26,18-8,69.2%,250,146-104,58.4%,1:36,36.8,35.6
28,Denis Shapovalov[CAN],9,4-5,44.4%,65.2%,67.1%,70,10.4%,53,7.8%,20.2%,61.2%,76.3%,47.7%,59.8%,83.3%,6.3,2.2,Denis Shapovalov[CAN],9,34.3%,34.0%,4.5%,2.8%,29.1%,45.0%,19.6%,6.0,2.0,47.0,48.4,Denis Shapovalov[CAN],9,43.8%,21,48,0.45,2.2,5.3,0.95,2.3,71.4%,45,63,0.58,2.9,7.0,0.82,2.0,Denis Shapovalov[CAN],9,0.99,1314,50.2%,2,1-1,50.0%,9.1%,22,11-11,50.0%,215,111-104,51.6%,1:25,34.8,34.9
29,Brandon Nakashima[USA],12,3-9,25.0%,66.0%,63.8%,99,10.1%,22,2.2%,7.0%,68.1%,71.9%,53.5%,57.5%,85.8%,6.6,2.3,Brandon Nakashima[USA],12,29.9%,32.2%,14.0%,3.2%,21.8%,45.3%,7.9%,6.5,2.0,31.0,62.0,Brandon Nakashima[USA],12,20.3%,12,59,0.39,2.0,4.9,0.41,1.0,73.4%,58,79,0.53,2.7,6.6,0.72,1.8,Brandon Nakashima[USA],12,0.88,1977,47.9%,10,3-7,30.0%,34.5%,29,9-20,31.0%,300,139-161,46.3%,1:57,48.4,42.6
30,Matteo Berrettini[ITA],6,4-2,66.7%,72.4%,69.9%,64,14.5%,12,2.7%,8.3%,67.4%,82.6%,51.4%,56.1%,93.2%,6.1,1.7,Matteo Berrettini[ITA],6,32.9%,32.4%,6.8%,4.1%,27.1%,41.0%,17.6%,6.3,2.1,104.0,118.0,Matteo Berrettini[ITA],6,41.9%,13,31,0.42,2.2,5.2,0.93,2.2,66.7%,10,15,0.21,1.1,2.5,0.36,0.8,Matteo Berrettini[ITA],6,1.19,910,52.1%,5,3-2,60.0%,35.7%,14,10-4,71.4%,147,81-66,55.1%,1:46,45.4,41.9
