Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],36,22-14,61.1%,63.5%,61.5%,324,11.7%,111,4.0%,10.2%,60.5%,73.1%,48.8%,54.3%,80.9%,6.6,2.4,Jakub Mensik[CZE],36,36.1%,36.8%,7.6%,3.3%,28.5%,50.2%,20.1%,6.4,2.3,38.5,65.3,Jakub Mensik[CZE],36,40.5%,83,205,0.50,2.3,5.7,0.94,2.3,64.0%,142,222,0.53,2.5,6.2,0.91,2.2,Jakub Mensik[CZE],36,0.99,5403,50.1%,19,12-7,63.2%,21.6%,88,49-39,55.7%,831,422-409,50.8%,1:46,43.2,42.2
22,Ugo Humbert[FRA],53,33-20,62.3%,66.5%,65.0%,316,8.1%,85,2.2%,6.2%,64.5%,73.2%,54.3%,57.9%,85.9%,6.3,2.1,Ugo Humbert[FRA],53,37.1%,37.3%,7.1%,3.9%,28.7%,50.7%,22.7%,6.3,2.3,43.0,54.3,Ugo Humbert[FRA],53,39.4%,138,350,0.57,2.7,6.6,1.06,2.6,66.7%,174,261,0.42,2.0,4.9,0.67,1.6,Ugo Humbert[FRA],53,1.11,7702,51.9%,16,5-11,31.3%,12.3%,130,79-51,60.8%,1228,670-558,54.6%,1:44,42.5,43.0
23,Sebastian Korda[USA],41,26-15,63.4%,65.7%,62.9%,302,11.0%,55,2.0%,5.0%,59.7%,75.2%,51.7%,54.4%,81.9%,6.1,2.1,Sebastian Korda[USA],41,37.3%,37.7%,7.1%,3.7%,28.5%,51.5%,23.0%,6.5,2.4,42.0,80.4,Sebastian Korda[USA],41,40.2%,103,256,0.57,2.8,6.2,1.11,2.5,60.9%,126,207,0.46,2.2,5.0,0.87,2.0,Sebastian Korda[USA],41,1.09,5642,51.2%,18,8-10,44.4%,19.4%,93,54-39,58.1%,896,470-426,52.5%,1:34,41.4,40.9
24,Karen Khachanov[RUS],50,32-18,64.0%,66.8%,64.7%,331,9.5%,67,1.9%,5.4%,64.5%,74.9%,52.1%,55.0%,83.4%,6.1,2.0,Karen Khachanov[RUS],50,37.1%,39.0%,10.1%,3.3%,27.7%,53.3%,22.8%,6.5,2.4,42.0,54.0,Karen Khachanov[RUS],50,43.1%,129,299,0.53,2.6,6.0,1.13,2.6,59.3%,137,231,0.41,2.0,4.6,0.82,1.9,Karen Khachanov[RUS],50,1.12,7158,51.5%,23,13-10,56.5%,20.2%,114,70-44,61.4%,1133,601-532,53.0%,1:47,47.0,44.9
25,Alexei Popyrin[AUS],40,22-18,55.0%,65.5%,63.8%,302,10.4%,95,3.3%,9.1%,64.0%,74.0%,50.3%,55.4%,83.4%,6.6,2.3,Alexei Popyrin[AUS],40,34.3%,35.0%,8.9%,3.8%,27.2%,46.3%,16.6%,6.4,2.2,37.5,52.5,Alexei Popyrin[AUS],40,32.0%,74,231,0.52,2.5,5.8,0.81,1.9,66.2%,143,216,0.49,2.4,5.4,0.80,1.8,Alexei Popyrin[AUS],40,0.99,5743,50.0%,20,11-9,55.0%,22.0%,91,48-43,52.7%,887,442-445,49.8%,1:38,43.0,40.9
26,Alejandro Davidovich Fokina[ESP],35,16-19,45.7%,63.3%,62.8%,173,6.4%,82,3.1%,9.3%,67.3%,69.0%,51.5%,56.8%,79.4%,6.5,2.4,Alejandro Davidovich Fokina[ESP],35,37.0%,38.7%,10.0%,3.4%,28.0%,50.6%,22.0%,6.5,2.4,48.0,73.9,Alejandro Davidovich Fokina[ESP],35,40.9%,90,220,0.54,2.6,6.3,1.07,2.6,63.5%,148,233,0.57,2.8,6.7,1.01,2.4,Alejandro Davidovich Fokina[ESP],35,1.01,5364,50.1%,19,5-14,26.3%,22.6%,84,40-44,47.6%,822,417-405,50.7%,1:52,46.8,44.0
27,Felix Auger Aliassime[CAN],48,27-21,56.3%,66.5%,65.9%,385,11.7%,169,5.1%,14.0%,63.2%,75.7%,50.7%,58.9%,85.1%,6.3,2.1,Felix Auger Aliassime[CAN],48,36.5%,36.5%,5.9%,3.3%,31.4%,45.8%,21.0%,6.5,2.4,57.0,57.6,Felix Auger Aliassime[CAN],48,40.3%,108,268,0.52,2.5,5.6,1.00,2.3,64.4%,141,219,0.42,2.0,4.6,0.72,1.6,Felix Auger Aliassime[CAN],48,1.09,6601,51.4%,22,10-12,45.5%,20.4%,108,61-47,56.5%,1037,553-484,53.3%,1:37,43.1,42.4
28,Denis Shapovalov[CAN],41,22-19,53.7%,66.7%,68.5%,333,11.2%,233,7.8%,19.8%,60.4%,78.1%,49.2%,61.3%,85.6%,6.3,2.1,Denis Shapovalov[CAN],41,37.3%,36.9%,5.1%,3.5%,31.3%,48.6%,22.0%,6.6,2.5,51.0,76.1,Denis Shapovalov[CAN],41,40.4%,103,255,0.54,2.7,6.2,1.10,2.5,65.5%,129,197,0.42,2.1,4.8,0.72,1.7,Denis Shapovalov[CAN],41,1.12,6069,51.7%,21,9-12,42.9%,22.3%,94,53-41,56.4%,940,506-434,53.8%,1:39,43.2,40.1
29,Brandon Nakashima[USA],41,21-20,51.2%,67.8%,64.9%,322,11.1%,45,1.6%,4.6%,66.1%,74.0%,55.6%,58.3%,87.3%,6.3,2.0,Brandon Nakashima[USA],41,33.0%,33.8%,9.8%,3.8%,25.2%,46.1%,15.2%,6.4,2.1,45.0,89.2,Brandon Nakashima[USA],41,32.4%,70,216,0.47,2.3,5.3,0.75,1.7,69.1%,132,191,0.41,2.1,4.7,0.63,1.4,Brandon Nakashima[USA],41,1.02,5820,50.3%,20,9-11,45.0%,21.5%,93,48-45,51.6%,923,474-449,51.4%,1:43,45.5,43.6
30,Matteo Berrettini[ITA],40,30-10,75.0%,70.3%,67.2%,358,12.7%,46,1.6%,5.4%,69.5%,78.1%,52.4%,55.4%,90.2%,6.1,1.8,Matteo Berrettini[ITA],40,35.5%,36.0%,6.0%,2.4%,29.0%,46.8%,19.7%,6.5,2.3,63.0,78.4,Matteo Berrettini[ITA],40,38.6%,90,233,0.51,2.6,5.8,0.99,2.3,71.9%,115,160,0.35,1.8,4.0,0.49,1.1,Matteo Berrettini[ITA],40,1.19,5772,52.5%,22,16-6,72.7%,24.2%,91,66-25,72.5%,917,505-412,55.1%,1:48,47.5,44.9
31,Hubert Hurkacz[POL],46,31-15,67.4%,69.0%,64.8%,554,15.1%,68,1.9%,5.0%,63.2%,77.4%,54.5%,57.4%,88.6%,6.3,2.0,Hubert Hurkacz[POL],46,33.7%,34.9%,7.6%,2.3%,27.1%,46.1%,15.9%,6.5,2.2,45.5,67.4,Hubert Hurkacz[POL],46,38.5%,89,231,0.41,2.1,5.0,0.79,1.9,72.0%,170,236,0.41,2.1,5.1,0.59,1.4,Hubert Hurkacz[POL],46,1.09,7319,51.3%,36,21-15,58.3%,32.1%,112,70-42,62.5%,1142,604-538,52.9%,1:52,46.1,42.3
32,Alex Michelsen[USA],53,28-25,52.8%,63.8%,63.6%,230,5.7%,120,3.0%,9.3%,68.0%,69.3%,52.0%,57.4%,81.0%,6.5,2.4,Alex Michelsen[USA],53,37.5%,38.5%,8.9%,3.9%,29.0%,50.6%,22.6%,6.5,2.4,67.0,115.2,Alex Michelsen[USA],53,39.3%,138,351,0.58,2.8,6.6,1.10,2.6,62.4%,196,314,0.51,2.5,5.9,0.94,2.2,Alex Michelsen[USA],53,1.04,7991,50.8%,31,15-16,48.4%,24.6%,126,68-58,54.0%,1230,640-590,52.0%,1:49,45.7,43.2
33,Sebastian Baez[ARG],51,27-24,52.9%,60.5%,61.0%,104,2.7%,96,2.5%,8.8%,71.4%,64.2%,51.3%,56.3%,73.8%,6.7,2.6,Sebastian Baez[ARG],51,39.3%,40.0%,6.5%,3.1%,32.6%,50.4%,26.2%,6.4,2.5,62.0,71.3,Sebastian Baez[ARG],51,40.4%,152,376,0.65,3.1,7.4,1.25,3.0,61.2%,237,387,0.68,3.2,7.6,1.23,2.9,Sebastian Baez[ARG],51,0.99,7564,50.0%,13,8-5,61.5%,10.7%,122,63-59,51.6%,1154,575-579,49.8%,1:43,43.1,41.7
