Rk,Player,M,M W-L,M W%,SPW,SPW-InP,Aces,Ace%,DFs,DF%,DF/2s,1stIn,1st%,2nd%,2%-InP,Hld%,Pts/SG,PtsL/SG,Player_dup,M_dup,RPW,RPW-InP,vAce%,vDF%,v1st%,v2nd%,Brk%,Pts/RG,PtsW/RG,MdOppRk,MnOppRk,Player_dup,M_dup,BPConv%,BPConv,BPChnc,BP/G,BP/S,BP/M,Bks/S,Bks/M,BPSvd%,BPSaved,BPvs,BPvs/G,BPvs/S,BPvs/M,Bkn/S,Bkn/M,Player_dup,M_dup,DR,Points,TPW%,TBs,TB W-L,TB W%,TB/S,Sets,Set W-L,S W%,Gms,Game W-L,G W%,Time/Mt,Min/Set,Sec/Pt
21,Jakub Mensik[CZE],29,17-12,58.6%,64.5%,61.9%,362,13.2%,110,4.0%,10.1%,60.2%,75.5%,47.8%,53.2%,82.6%,6.7,2.4,Jakub Mensik[CZE],29,35.4%,35.9%,8.4%,3.9%,26.7%,49.7%,18.9%,6.6,2.3,31.0,66.1,Jakub Mensik[CZE],29,37.6%,77,205,0.50,2.3,7.1,0.88,2.7,65.9%,137,208,0.51,2.4,7.2,0.81,2.4,Jakub Mensik[CZE],29,1.00,5412,50.1%,32,17-15,53.1%,36.4%,88,49-39,55.7%,814,413-401,50.7%,2:12,43.5,42.4
22,Ugo Humbert[FRA],42,29-13,69.0%,67.6%,66.0%,299,9.4%,78,2.4%,6.8%,63.9%,74.0%,56.3%,60.4%,87.6%,6.2,2.0,Ugo Humbert[FRA],42,37.0%,37.8%,8.1%,3.7%,27.5%,52.1%,23.1%,6.3,2.3,43.0,49.6,Ugo Humbert[FRA],42,39.4%,117,297,0.59,2.8,7.1,1.08,2.8,68.0%,136,200,0.39,1.9,4.8,0.59,1.5,Ugo Humbert[FRA],42,1.14,6372,52.4%,13,3-10,23.1%,12.0%,108,70-38,64.8%,1024,570-454,55.7%,1:53,43.9,44.7
23,Sebastian Korda[USA],30,19-11,63.3%,65.3%,62.5%,255,11.9%,57,2.7%,6.7%,60.0%,74.7%,51.2%,54.8%,81.6%,6.2,2.1,Sebastian Korda[USA],30,37.7%,38.1%,8.2%,4.5%,28.3%,53.1%,23.8%,6.5,2.5,48.0,93.6,Sebastian Korda[USA],30,41.2%,82,199,0.58,2.7,6.6,1.11,2.7,60.7%,99,163,0.47,2.2,5.4,0.86,2.1,Sebastian Korda[USA],30,1.09,4399,51.1%,14,6-8,42.9%,18.9%,74,42-32,56.8%,692,365-327,52.7%,1:41,40.7,41.1
24,Karen Khachanov[RUS],43,28-15,65.1%,66.7%,64.3%,341,10.5%,66,2.0%,5.7%,64.1%,74.7%,52.5%,55.7%,82.7%,6.2,2.1,Karen Khachanov[RUS],43,36.7%,38.7%,10.8%,3.5%,26.6%,53.6%,22.5%,6.5,2.4,47.0,62.1,Karen Khachanov[RUS],43,40.5%,119,294,0.56,2.8,6.8,1.12,2.8,60.8%,141,232,0.44,2.2,5.4,0.86,2.1,Karen Khachanov[RUS],43,1.10,6661,51.3%,25,17-8,68.0%,23.6%,106,65-41,61.3%,1053,553-500,52.5%,1:56,47.2,45.0
25,Alexei Popyrin[AUS],32,21-11,65.6%,66.6%,64.7%,318,12.4%,98,3.8%,10.1%,62.2%,76.2%,50.8%,56.5%,85.6%,6.5,2.2,Alexei Popyrin[AUS],32,36.1%,36.5%,9.3%,4.6%,27.8%,49.7%,20.2%,6.5,2.4,34.5,52.3,Alexei Popyrin[AUS],32,34.3%,80,233,0.59,2.9,7.3,1.00,2.5,69.5%,130,187,0.47,2.3,5.8,0.71,1.8,Alexei Popyrin[AUS],32,1.08,5164,51.3%,20,11-9,55.0%,25.0%,80,49-31,61.3%,792,418-374,52.8%,1:56,46.4,43.2
26,Alejandro Davidovich Fokina[ESP],32,16-16,50.0%,63.4%,63.0%,170,6.6%,80,3.1%,9.4%,66.9%,69.4%,51.5%,56.8%,80.0%,6.5,2.4,Alejandro Davidovich Fokina[ESP],32,37.2%,38.7%,9.8%,3.8%,27.8%,50.6%,22.4%,6.5,2.4,57.0,77.1,Alejandro Davidovich Fokina[ESP],32,41.3%,88,213,0.54,2.7,6.7,1.10,2.8,63.6%,138,217,0.55,2.7,6.8,0.99,2.5,Alejandro Davidovich Fokina[ESP],32,1.02,5150,50.3%,18,6-12,33.3%,22.5%,80,40-40,50.0%,788,404-384,51.3%,1:57,46.9,43.7
27,Felix Auger Aliassime[CAN],30,15-15,50.0%,65.3%,65.2%,264,11.7%,136,6.0%,16.0%,62.1%,74.1%,50.9%,60.6%,82.7%,6.2,2.1,Felix Auger Aliassime[CAN],30,36.6%,36.7%,7.3%,4.1%,29.5%,48.5%,19.9%,6.5,2.4,59.5,65.5,Felix Auger Aliassime[CAN],30,39.3%,72,183,0.51,2.4,6.1,0.96,2.4,62.3%,104,167,0.46,2.2,5.6,0.84,2.1,Felix Auger Aliassime[CAN],30,1.06,4593,50.7%,12,4-8,33.3%,16.0%,75,38-37,50.7%,727,374-353,51.4%,2:00,48.1,47.2
28,Denis Shapovalov[CAN],33,18-15,54.5%,67.5%,68.8%,295,12.4%,180,7.5%,19.3%,61.0%,78.6%,50.2%,62.2%,86.7%,6.2,2.0,Denis Shapovalov[CAN],33,37.7%,37.3%,5.5%,3.8%,31.5%,49.1%,22.4%,6.7,2.5,51.0,81.5,Denis Shapovalov[CAN],33,37.6%,86,229,0.60,3.0,6.9,1.12,2.6,65.3%,96,147,0.38,1.9,4.5,0.66,1.5,Denis Shapovalov[CAN],33,1.16,4940,52.1%,15,5-10,33.3%,19.5%,77,43-34,55.8%,768,419-349,54.6%,1:39,42.3,39.5
29,Brandon Nakashima[USA],30,16-14,53.3%,68.1%,64.8%,270,12.1%,32,1.4%,4.3%,66.5%,74.4%,55.7%,58.2%,87.3%,6.2,2.0,Brandon Nakashima[USA],30,32.9%,34.1%,10.3%,3.6%,24.3%,47.1%,15.7%,6.2,2.0,28.0,88.1,Brandon Nakashima[USA],30,36.3%,57,157,0.43,2.1,5.2,0.76,1.9,68.1%,98,144,0.40,1.9,4.8,0.61,1.5,Brandon Nakashima[USA],30,1.03,4488,50.4%,14,7-7,50.0%,18.7%,75,41-34,54.7%,724,373-351,51.5%,1:48,43.4,43.5
30,Matteo Berrettini[ITA],19,11-8,57.9%,67.1%,63.3%,188,13.0%,24,1.7%,4.8%,65.5%,76.7%,48.8%,51.3%,86.5%,6.3,2.1,Matteo Berrettini[ITA],19,34.3%,35.0%,6.5%,2.5%,27.8%,44.7%,18.4%,6.4,2.2,67.0,80.8,Matteo Berrettini[ITA],19,38.9%,42,108,0.47,2.3,5.7,0.91,2.2,69.0%,69,100,0.44,2.2,5.3,0.67,1.6,Matteo Berrettini[ITA],19,1.04,2899,50.7%,10,5-5,50.0%,21.7%,46,27-19,58.7%,457,240-217,52.5%,1:57,48.1,45.8
